Kohanimi
Aabukurm
Aadami küla
Aakre
Abja-Paluoja
Ahju
Aiamaa
Ala kärsa
Ala-kõva
Ala-tilga
Alatskivi
Ala-tsumba küla
Albi
Alekere
Aljava
Ametmäe
Ammuta
Anelema
Angerja
Ao
Are
Arianna
Armastuse linnake
Aruarv
Aruküla
Arulageda
Assamalla
Ata
Atsalama
Auaste
Borrby
Bussy nina
Diby küla
Dirhami
Eametsa
Egeri
Eidapere
Eideauk ja taadiauk
Eivere
Emmaste
Emumägi
Ennu küla
Epu-kakerdi
Erala küla
Ervita
Essu
Esäkeste soo
Etsaste
Förby
Haanja
Haava
Haavakivi
Habaja
Haljava
Hammaste
Hanila
Haraka
Hatu-metslõugu
Hellamaa
Hiirelinn
Hirmuküla
Hirmuste
Hobuala
Hobusepea tänav
Holsta
Hoorapere
Hullo
Hundiaugu
Hundinurga
Huugametsa
Hõbeda
Hädaküla
Hädanussu küla
Hälvati
Hämsa
Hänike
Härjaoja
Härmakosu
Häädemeeste
Hüpassaare
Hürjapea
Igavere
Ignase
Ihamaru
Ihasalu
Iide
Illevere
Ilvessild
Imavere
Ingliste
Inju
Isabella
Jaburi
Jalalõpe
Jalamtesa
Jalgsema
Jamaja
Jelena
Joodiku
Joosepimaa
Julia
Junnküla
Junnumaa
Juraski küla
Jurski küla
Juula
Juurikaru
Jõelähtme
Jälevere
Jälgimäe
Jämaja
Jämedasarve
Jämejala
Jäneda
Jänesteküla
Järvakandi
Jäärja
Jäärumetsa
Jüri mõis
Kabala
Kabelimetsa
Kaberla
Kabina
Kabuna
Kadila
Kaemla
Kahuri
Kaika
Kakerdaja raba
Kalamaja
Kalamehe
Kalana
Kaljuots
Kalli küla
Kalvi
Kamara
Kanahaua
Kanaküla
Kanala
Kanamardi
Kanapeeksi
Kanasaare
Kana-uru-muru mägi
Kanavere
Kanepi
Kangavitsa
Kantküla
Kapasto
Kapsaküla
Kapsta
Kargaja
Karilatsi
Karjaküla
Karula
Karuperse
Karupesa
Karusenpää
Karuskose
Kasispea
Kassi – rebaste
Kassikulla
Kassilaane
Kassinurme
Kassiratta
Kassisaba
Kasti
Kastmekoja
Katkuotsa
Kaunispe
Kaunissaare
Kautliku pank
Keeni
Kelmiküla
Kemba
Kepi talu
Kerepäälse
Kergeltpööramisi
Kergätsi küla
Keri
Kibeküla
Kiduspää
Kihlevere
Kiilaspere
Kiima
Kiimariigi
Kiimasaare
Kiirusmägi
Kikivere
Kiku
Kilivere
Kilomani
Kimalasõ küla
Kirbu
Kirna küla
Kiska
Kitseküla
Kivivõhma
Kiviõli
Kleemu
Kliima
Kobra
Kobruvere
Kodila
Kodismaa
Koerakuse allikas
Koeralooga
Koeravere
Koeru
Kohatu
Kohila
Koikküla
Koka
Kokamardi
Kokaviidika
Kokora
Koksvere
Kokuta
Koljaku
Kolli
Kolme paksu tänav
Kolu
Kompassi madal
Kondi
Kongo
Konnaaugu
Konnaland
Konnapere
Koogi
Koogiste
Koosa
Kopa
Koppelmaa
Kopra talu
Korjuse
Kosova
Kosu
Kotinuka
Krabi
Kriilevälja küla
Kriimi laid
Kringliküla
Kudina
Kudjape
Kuhu
Kuhuveel
Kukelinn
Kukkeranna
Kukulinna
Kulli
Kullimaa
Kullipesa
Kunda
Kuniguste
Kuradijärv
Kuressaare
Kuri küla
Kurista
Kusi
Kuusiku
Kõduküla küla
Kõpu
Kõrtsialuse küla
Kõvaküla
Käbiküla
Käkimaa
Käkirahu
Käravete
Käre
Käriselja
Kärnaküla
Kärnamäe
Kärneri
Kärnijärv
Kärsa
Käru
Käsna
Käsukonna
Käutökäino
Küdema
Kühmamäe
Kükametsa
Kükita
Kükitaja
Külaaeseme küla
Külaküla küla
Küllätüvä
Kündja
Lahe
Laheküla
Lahemaa
Lahinguvälja
Lakesöödi
Laksu küla
Lalli
Lambasaba
Lammasmäe
Langevoja juga
Lapetukme
Lasila
Leebiku
Leesi
Lehmja
Lelukurmu
Lemmaku
Lemme
Lenchik
Letipea
Levalõpme
Lihtenstein
Lihulõpe
Liiapeksi
Liigalaskma
Liispea
Lilu
Limu
Linda
Linnaaluste
Linnusitasaar ehk linnusitamaa
Liplapi küla
Lisaku
Litovere
Litsemaa
Litsemäe
Litsiküla
Litsivere
Litslaane
Litsmetsa
Lituküla
Lituvere
Lohujaam
Lokuta
Lollidemaa
Lolu
Loobu
Loodi
Loomse
Loona
Loosi
Lopsigu
Lullikatku
Lustivere
Lutepää
Luulupe
Luutsniku
